Particulars,"March 31, 2022","March 31, 2021"
Opening provision for reward points,638.79,734.15
Provision for reward points made during the year,465.13,375.21
Utilisation / write-back of provision for reward points,(468.01),(470.57)
Closing provision for reward points,635.91,638.79
