Name,No. of meetings attended
Mr. Sanjiv Sachar,13
Mr. Sandeep Parekh,13
Mr. M.D. Ranganath,13
Mr. Umesh Chandra Sarangi,13
"Mr. Atanu Chakraborty (from June 9, 2021)",9
