Name,No. of meetings attended
Mr. Malay Patel,4
Mr. Umesh Chandra Sarangi,4
Mr. Sandeep Parekh,4
Mrs. Renu Karnad,4
"Mr. Kaizad Bharucha (from September 17, 2021)",2
