Name,No. of meetings attended
Mrs. Renu Karnad,4
Mr. Sandeep Parekh,4
"Dr. (Mrs.) Sunita Maheshwari (from September 17, 2021)",2
"Mr. Malay Patel (upto September 17, 2021)",2
