"Sl.
No.","Name
of the Project",Item from the list of activities in Schedule VII to the Act,Local area (Yes/ No),,Location of the project,Project dura- tion,Amount allocated for the project (₹ Cr.),Amount spent in the current financial Year (₹ Cr),Amount transferred to Unspent CSR Account for the,Mode of Imple- menta- tion - Direct (Yes/No),"Mode of
Through","Implementation -
Implementing Agency"
,,,,State,District,,,,project as per Section 135(6) (₹ Cr),,Name,CSR Registration Number
182,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Chhattisgarh,Bilaspur,3,0.48,0.48,NA,No,National Institute Of Women Child And Youth Development,CSR00000206
183,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Chhattisgarh,Korea(Koriya),3,0.77,0.77,NA,No,Watershed Organisation Trust,CSR00000518
184,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Chhattisgarh,Kanker,3,0.48,0.48,NA,No,Udyogini,CSR00001487
"35
185",Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Maharashtra,Yawatmal,3,1.49,1.49,NA,No,Sanjeevani Inst. For Empower- Ment & Develop- Ment,CSR00000270
186,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Chhattisgarh,Bald,3,0.57,0.53,NA,No,Vrutti,CSR00000538
187,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Rajasthan,Dausa,2,2.12,2.11,NA,No,Baif Development Research Foundation,CSR00000308
188,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Maharashtra,Palghar,2,1.09,1.09,NA,No,All India Institute Of Local Self Government,CSR00000373
189,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Madhya Pradesh,Vidisha,2,2.52,2.52,NA,No,Arpan Seva Sansthan,CSR00000826
190,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Chhattisgarh,Janjgir-Champa,3,1.17,"1.17
:unselected:",NA,No,Indo Global Social Service Society,CSR00001677
191,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,"Himachal Pradesh
:unselected:",Kangra,3,2.32,2.32,NA,No,Peoples Action For National Integration,CSR00000125
192,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,"Assam
:unselected:",Darang,3,1.65,1.65,NA,No,Fxb India Suraksha,CSR00000076
193,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Chhattisgarh,Kabeerdham,3,0.77,0.77,NA,No,Aroh Foundation,CSR00000044
194,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Chhattisgarh,Jashpur,3,1.59,1.59,NA,No,Self Reliant Initiatives Through Joint Action,CSR00001911
195,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Meghalaya,East Khasi,3,1.45,1.45,NA,No,Aroh Foundation,CSR00000044
