,2021-22,,,New hire rate,,
,Male,Female,Total,Male,Female,Total
Senior Management,9,2,11,7.30%,13.30%,7.90%
Non Supervisory Staff,"3,597",647,"4,244",16.80%,18.50%,17.00%
Junior Management,"18,971","7,951","26,922",31.40%,41.30%,33.80%
Frontline Staff and Sales Officers,"22,446","3,628","26,074",69.00%,85.40%,70.9
Total,"45,023","12,228","57,251",39.30%,45.30%,40.40%
