(₹ crore),,
Particulars,"March 31, 2022","March 31, 2021"
Provision for income tax - Current,"13,346.03","11,644.77"
- Deferred,"(1,291.91)","(1,102.31)"
Provision for NPAs1,"10,119.38","11,450.19"
Provision for diminution in value of non-performing investments,(14.52),(16.82)
Provision for standard assets,"1,257.85",866.63
Other provisions and contingencies2,"3,699.12","3,402.85"
Total,"27,115.95","26,245.31"
