Particulars,Minimum outstanding during the year,Maximum outstanding during the year,Daily average outstanding during the year,"Outstanding as at March 31, 2021"
Securities sold under tri-party repo,,,,
1. Government securities,-,"62,412.35","28,907.14","30,706.00"
2. Corporate debt securities,-,-,-,-
3. Any other securities,-,-,-,-
Securities purchased under tri-party repo,,,,
1. Government securities,-,"1,000.00",2.74,-
2. Corporate debt securities,-,-,-,-
3. Any other securities,-,-,-,-
