"Category of plan assets as at March 31, 2022",HDFC Bank Limited,HDFC Securities Limited,HDB Financial Services Limited
Government securities,28.80%,59.00%,51.71%
Debenture and bonds,24.52%,28.00%,34.77%
Equity shares,40.40%,9.00%,-
Others,6.28%,4.00%,13.52%
Total,100.00%,100.00%,100.00%
