,"As at March 31, 2022","As at March 31, 2021"
I In India,,
(i) Balances with banks:,,
(a) In current accounts,627.61,989.78
(b) In other deposit accounts,"2,730.83","1,617.09"
Total,"3,358.44","2,606.87"
(ii) Money at call and short notice:,,
(a) With banks,-,-
(b) With other institutions,491.33,-
Total,491.33,-
Total,"3,849.77","2,606.87"
,,
II Outside India,,
(i) In current accounts,"7,362.22","11,034.48"
(ii) In deposit accounts,"2,020.43",390.96
(iii) Money at call and short notice,"12,122.60","9,869.85"
Total,"21,505.25","21,295.29"
Total,"25,355.02","23,902.16"
