Location,Number of plants,Number of offices,Total
National,N.A.,"6,342 branches and 18,130 ATMs / Cash Deposit & Withdrawal Machines (CDMs) across 3,188 cities / towns. In addition, we have 15,341 business correspondents, which are primarily manned by Common Service Centres (CSC).",-
International,N.A.,"Branches and Representative Offices in Manama (Bahrain), Hong Kong, Dubai, DIFC, Abu Dhabi and Nairobi (Kenya).",-
