Plan,Range of exercise price (₹),Number of shares arising out of options,Weighted average remaining contractual life of options (in years),Weighted average exercise price (₹)
ESOP-10,213.00,"48,150",3.59,213.00
ESOP-11,274.00,"3,94,000",4.58,274.00
ESOP-12,300.00,"15,58,900",5.07,300.00
ESOP-13,348.00,"11,75,600",5.94,348.00
