,2021-22,,,2020-21,,
,Male,Female,Total,Male,Female,Total
Senior Management,"1,509",222,"1,730","1,173",288,"1,462"
Junior & Middle Management,"19,49,764","3,56,045","23,05,809","19,53,219","3,14,272","22,67,491"
Non Supervisory Staff,"84,51,114","32,81,633","1,17,32,747","76,09,840","25,11,958","1,01,21,798"
Frontline Staff and Sales Officers,"3,21,785","44,218","3,66,003","3,16,595","31,289","3,47,885"
Total,"1,07,24,172","36,82,117","1,44,06,289","98,80,828","28,57,808","1,27,38,636"
