Plan,Range of exercise price (₹),Number of shares arising out of options,Weighted average life of options (in years),Weighted average exercise price (₹)
Plan F,417.75 to 731.08,"1,75,64,766",1.07,666.77
Plan G,"882.85 to 1,516.95","14,05,41,250",2.70,"1,239.25"
