,2021-22,,,Attrition rate,,
,Male,Female,Total,Male,Female,Total
East,"3,649",549,"4,198",25.50%,24.70%,25.4%
West,"10,639","2,585","13,224",25.30%,25.00%,25.2%
South,"7,006","2,009","9,015",26.40%,27.70%,26.7%
North,"7,868","1,799","9,667",25.00%,25.20%,25%
Abroad,3,6,9,2.90%,11.8%,5.8%
Total,"29,165","6,948","36,113",25.50%,25.70%,25.50%
