,2021-22,,,Attrition rate,,
,Male,Female,Total,Male,Female,Total
<30,"15,009","4,453","19,462",36.6%,32.1%,35.4%
30-50,"14,066","2,485","16,551",19.5%,19.3%,19.4%
>50,90,10,100,7.3%,4.4%,6.8%
Total,"29,165","6,948","36,113",25.50%,25.70%,25.50%
