,"As at March 31, 2022","As at March 31, 2021"
XI Employees stock options reserve :selected:,,
Opening balance,-,-
Additions during the year,"3,259,696",-
"Total
:unselected:","3,259,696",-
"Total
:unselected:","2,395,383,846","2,031,695,513"
