,₹ in crore,
,"As at March 31, 2022","As at March 31, 2021"
I Cash in hand (including foreign currency notes),"11,239.51","10,722.18"
II Balances with Reserve Bank of India:,,
(a) In current accounts,"81,777.20","59,442.17"
(b) In other accounts,"37,014.00","27,206.00"
Total,"118,791.20","86,648.17"
Total,"130,030.71","97,370.35"
