,FY 2021-22 (Current Financial Year),FY 2020-21 (Previous Financial Year)
Directly sourced from MSMEs/ small producers,The only material input for our sector is paper. Hence this question is not applicable/ material to us,N.A.
Sourced directly from within the district and neighbouring districts,N.A.,N.A.
