Particulars,"March 31, 2022","March 31, 2021"
Cost,,
As at March 31 of the previous year,"3,566.70","3,236.57"
Additions during the year,806.03,330.13
Deductions during the year,(0.01),-
Total (a),"4,372.72","3,566.70"
Depreciation,,
As at March 31 of the previous year,"2,822.87","2,473.76"
Charge for the year,443.58,349.11
On deductions during the year,(0.01),-
Total (b),"3,266.44","2,822.87"
Net value (a-b),"1,106.28",743.83
