Particulars,"March 31, 2022","March 31, 2021"
Assumptions,,
Discount rate,6.80% per annum,6.50% per annum
Expected return on plan assets,6.50% per annum,6.50% per annum
Salary escalation rate,7.00% per annum,7.00% per annum
