Type of PSLCs,"For the year ended March 31, 2022",,"For the year ended March 31, 2021",
,PSLC bought during the year,PSLC sold during the year,PSLC bought during the year,PSLC sold during the year
Agriculture,726.00,-,"3,030.00",-
Small and Marginal farmers,887.25,-,625.00,-
Micro Enterprises,"31,280.00",-,"18,830.00",-
General,"67,707.50",-,"61,842.50","2,000.00"
Total,"100,600.75",-,"84,327.50","2,000.00"
