,,"Year ended March 31, 2022","Year ended March 31, 2021"
I Interest on deposits,,"489,089,952","501,433,080"
II Interest on RBI / inter-bank borrowings,,"68,189,380","58,225,908"
III,Other interest,"155,950","127,572"
Total,,"557,435,282","559,786,560"
