,"As at March 31, 2022","As at March 31, 2021"
Authorised capital,,
"6,50,00,00,000 (31 March, 2021 : 6,50,00,00,000) Equity Shares of ₹ 1/- each","6,500,000","6,500,000"
"Issued, subscribed and paid-up capital",,
"5,54,55,40,976 (31 March, 2021 : 5,51,27,76,482) Equity Shares of ₹ 1/- each","5,545,541","5,512,776"
Total,"5,545,541","5,512,776"
