Particulars,"March 31, 2022","March 31, 2021"
Cost,,
As at March 31 of the previous year,"3,673.81","3,329.61"
Additions during the year,829.99,344.20
Deductions during the year,(0.01),-
Total (a),"4,503.79","3,673.81"
Depreciation,,
As at March 31 of the previous year,"2,905.62","2,542.30"
Charge for the year,460.21,363.32
On deductions during the year,(0.01),-
Total (b),"3,365.83","2,905.62"
Net value (a-b),"1,137.96",768.19
