Particulars,For the years ended,
,"March 31, 2022","March 31, 2021"
Weighted average number of equity shares used in computing basic earnings per equity share,"5,53,32,03,566","5,49,96,68,151"
Effect of potential equity shares outstanding,"3,77,30,419","2,57,50,092"
Weighted average number of equity shares used in computing diluted earnings per equity share,"5,57,09,33,985","5,52,54,18,243"
