Particulars,For the years ended,
,"March 31, 2022","March 31, 2021"
"Nominal value per share (₹)
:selected:",1.00,1.00
"Basic earnings per share (₹)
:selected:",68.77,57.88
Effect of potential equity shares (per share) (₹),(0.46),(0.27)
"Diluted earnings per share (₹)
:selected:",68.31,57.61
