Sr. No.,Name and Address of The Stock Exchange,Stock Code
1,"BSE Limited, Phiroze Jeejeebhoy Towers, Dalal Street, Fort, Mumbai 400 023",500180
2,"The National Stock Exchange of India Limited, Exchange Plaza, Bandra Kurla Complex, Bandra (East), Mumbai 400051",HDFCBANK
