,2021-22,,,2020-21,,
,Male,Female,Total,Male,Female,Total
Senior management,124,15,139,106,10,116
Junior & Middle Management,"21,467","3,505","24,972","17,565","2,848","20,413"
Non Supervisory staff,"60,438","19,230","79,668","54,700","16,279","70,979"
Frontline Staff and Sales offiers,"32,553","4,247","36,800","25,976","2,609","28,585"
Total,"1,14,582","26,997","1,41,579","98,347","21,746","1,20,093"
