Sr. No. Particulars,"March 31, 2022","March 31, 2021"
i) The total notional principal amount of exchange traded interest rate derivatives undertaken during the years reported,Nil,Nil
ii) The total notional principal amount of exchange traded interest rate derivatives outstanding,Nil,Nil
iii) The notional principal amount of exchange traded interest rate derivatives outstanding and not 'highly effective',N.A.,N.A.
iv) Mark to market value of exchange traded interest rate derivatives outstanding and not 'highly effective',N.A.,N.A.
