Name,No. of meetings attended
Mr. Umesh Chandra Sarangi,4
"Mrs. Renu Karnad (from September 17, 2021)",2
"Mr. Malay Patel (upto September 17, 2021)",2
"Mr. Sandeep Parekh (upto September 17, 2021)",2
"Mr. Kaizad Bharucha (from September 17, 2021)",2
Mr. Sashidhar Jagdishan,4
Mr. Sanjiv Sachar,4
