Name,No. of meetings attended
Mr. M.D. Ranganath,9
"Mr. Srikanth Nadhamuni (upto February 18, 2022)",9
"Mr. Atanu Chakraborty (from June 9, 2021)",6
"Mr. Sashidhar Jagdishan (from June 9, 2021)",6
"Dr. (Mrs.) Sunita Maheshwari (from September 17, 2021)",3
