Asset,Estimated useful life
Computer hardware,3 years
Office equipments,5 years
Furniture and fixtures,10 years
Leasehold improvements,"Over the remaining period of the lease or estimated life, whichever is shorter"
Electricals,10 years
Office premises,60 years
