Sr. No.,Particulars,"March 31, 2022","March 31, 2021"
(i),"Direct investments made in equity shares, convertible bonds, convertible debentures and units of equity oriented mutual funds the corpus of which is not exclusively invested in corporate debt","7,107.55","6,247.22"
(ii),"Advances against shares, bonds, debentures or other securities or on clean basis to individuals for investment in shares (including IPO's / ESOP's), convertible bonds, convertible debentures and units of equity oriented mutual funds","3,067.03",143.97
