,,"Year ended March 31, 2022","Year ended March 31, 2021"
I Interest / discount on advances / bills,,"985,120,227","948,345,362"
II Income from investments,,"260,461,338","232,142,691"
III,Interest on balance with RBI and other inter-bank funds,"25,523,700","23,412,507"
IV Others :selected:,,"6,425,926","4,681,705"
Total,,"1,277,531,191","1,208,582,265"
