,2021-22,,,New hire rate,,
,Male,Female,Total,Male,Female,Total
<30,"27,848","8,826","36,674",67.90%,63.50%,66.80%
30-50,"17,143","3,390","20,533",23.70%,26.30%,24.10%
>50,32,12,44,2.60%,5.30%,3.00%
Total,"45,023","12,228","57,251",39.30%,45.30%,40.40%
