,2021-22,,,2020-21,,
,Male,Female,Total,Male,Female,Total
East,"14,335","2,221","16,556","12,557","1,917","14,474"
West,"42,093","10,329","52,422","36,244","8,448","44,692"
South,"26,542","7,249","33,791","22,166","5,567","27,733"
North,"31,509","7,147","38,656","27,286","5,770","33,056"
Abroad,103,51,154,94,44,138
Total,"1,14,582","26,997","1,41,579","98,347","21,746","1,20,093"
