Name,No. of meetings attended
"Mr. Srikanth Nadhamuni (upto September 17, 2021)",5
Mr. M. D. Ranganath,9
Mrs. Renu Karnad,9
Mr. Sanjiv Sachar,9
Mr. Sashidhar Jagdishan,9
"Mrs. Lily Vadera (from January 15, 2022)",2
"Mr. Atanu Chakraborty (from June 9, 2021)",7
"Mr. Sandeep Parekh (from September 17, 2021)",4
