Name of entity,"Net assets as of March 31, 2022",,"Profit or (loss) for the year ended March 31, 2022",
,As % of consolidated net assets **,Amount ***,As % of consolidated profit or loss,Amount ***
Parent:,,,,
HDFC Bank Limited,97.08%,"240,092.94",97.13%,"36,961.33"
Subsidiaries *:,,,,
1. HDFC Securities Limited,0.66%,"1,644.71",2.62%,995.94
2. HDB Financial Services Limited,3.97%,"9,823.61",2.68%,"1,020.19"
Minority Interest in all subsidiaries,0.29%,720.42,0.26%,98.15
