Particulars,Number of options,Weighted average exercise price (₹)
"Options outstanding, beginning of year","16,81,68,760","1,063.79"
Granted during the year,"2,56,28,600","1,427.29"
Exercised during the year,"3,27,64,494",796.52
Forfeited / Lapsed during the year,"29,26,850","1,196.30"
"Options outstanding, end of year","15,81,06,016","1,175.65"
Options exercisable,"6,53,21,116","1,036.49"
