"Sl.
No.","Name
of the Project",Item from the list of activities in Schedule VII to the Act,Local area (Yes/ No),,Location of the project,Project dura- tion,Amount allocated for the project (₹ Cr.),Amount spent in the current financial Year (₹ Cr),Amount transferred to Unspent CSR Account for the,Mode of Imple- menta- tion - Direct (Yes/No),"Mode of
Through","Implementation -
Implementing Agency"
,,,,State,District,,,,project as per Section 135(6) (₹ Cr),,Name,CSR Registration Number
170,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Gujarat,Narmada,3,1.73,1.73,NA,No,Aga Khan Rural Support Programme India,CSR00004229
171,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Gujarat,"Kheda
:unselected:",3,1.66,"1.66
:unselected:",NA,No,Foundation For Ecological Security,CSR00000637
172,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Jharkhand,Dumka,4,3.06,3.06,NA,No,Professional Assistance For Development Action,CSR00000973
173,Holistic Rural Development Program,Rural Development Projects (x),Yes,Assam,Kamrup,3,2.16,2.16,NA,No,Citizens Foundation,CSR00000589
174,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Rajasthan,Jaisalmer,3,1.86,1.86,NA,No,Urmul Rural Health Research And Development Trust,CSR00000546
175,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Karnataka,"Gulberga, Bidar, Raichur",3,2.65,2.65,NA,No,Myrada,CSR00001099
176,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Uttar Pradesh,Prayagraj (Allahabad),3,1.88,1.88,NA,No,Peoples Action For National Integration,CSR00000125
177,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Rajasthan,Dhaulpur,3,1.95,1.95,NA,No,Manjari Foundation,CSR00000074
178,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Rajasthan,"Karauli
:unselected:",3,1.64,1.64,NA,No,Udyogini,CSR00001487
179,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Haryana,"Yamunanagar
:unselected:",4,1.88,1.88,NA,No,Centre For Advance Research And Development,CSR00000339
80,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Chhattisgarh,Surguja,3,0.46,0.46,NA,No,Ambuja Cement Foundation,CSR00006913
81,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Madhya Pradesh,Barwani,3,1.37,1.37,NA,No,Aga Khan Rural Support Programme India,CSR00004229
