Particulars,"March 31, 2022","March 31, 2021"
Dividend yield,4.91%,2.28%
Expected volatility,45.00%,45.00%
Risk-free interest rate,5.22% to 6.24%,4.47% to 5.64%
Expected life of the options,3 to 6 years,3 to 6 years
