,,"Year ended March 31, 2022","Year ended March 31, 2021"
I Interest / discount on advances / bills,,"106,295.34","102,299.13"
II Income from investments,,"25,907.06","23,211.62"
III,Interest on balance with RBI and other inter-bank funds,"2,630.78","2,414.30"
IV,Others,"1,103.23",627.35
Total,,"135,936.41","128,552.40"
