Particulars,Minimum outstanding during the year,Maximum outstanding during the year,Daily average outstanding during the year,"Outstanding as at March 31, 2022"
Securities sold under repo,,,,
1. Government securities,"9,020.00","34,381.25","10,466.70","14,465.00"
2. Corporate debt securities,-,-,-,-
3. Any other securities,-,-,-,-
Securities purchased under reverse repo,,,,
1. Government securities,"8,968.09","131,685.88","65,670.26","35,746.89"
2. Corporate debt securities,-,-,-,-
3. Any other securities,-,-,-,-
