,2021-22,,,Attrition Rate,,
,Male,Female,Total,Male,Female,Total
Senior Management,13,-,13,10.5%,-,9.4%
Junior & Middle Management,1804,377,2181,8.4%,10.8%,8.7%
Non Supervisory Staff,13080,4751,17831,21.6%,24.7%,22.4%
Total,"14,897","5,128","20,025",18.16,22.5%,19.1%
Frontline Staff and Sales Officers,14268,1820,16088,43.8%,42.9%,43.7%
