S. CSR Project No.,No. of persons benefitted from CSR Projects,% of beneficiaries from vulnerable and marginalized groups
Please refer 'Social- Communities' section of the Integrated Report.,Please refer 'Social- Communities 'section of the Integrated Report.,N.A.
