,2021-22,,,2020-21,,
,Male,Female,Total,Male,Female,Total
<30,"41,035","13,892","54,927","30,713","10,257","40,970"
30-50,"72,310","12,880","85,190","66,818","11,348","78,166"
>50,"1,237",225,"1,462",816,141,957
Total,"1,14,582","26,997","1,41,579","98,347","21,746","1,20,093"
