,"As at March 31, 2022","As at March 31, 2021"
I Statutory reserve,,
Opening balance,"423,605,693","345,814,380"
Additions during the year,"92,403,388","77,791,313"
Total,"516,009,081","423,605,693"
II General reserve,,
Opening balance,"167,607,883","136,491,358"
Additions during the year,"36,961,355","31,116,525"
"Total
:unselected:","204,569,238","167,607,883"
III Balance in profit and loss account,"931,856,743","736,527,947"
"IV Share premium account
:selected:",,
"Opening balance
:unselected:","605,126,833","587,555,328"
"Additions during the year
:unselected:","26,064,849","17,571,505"
"Total
:unselected:","631,191,682","605,126,833"
V Amalgamation reserve :selected:,,
"Opening balance
:unselected:","10,635,564","10,635,564"
"Additions during the year
:unselected:",-,-
"Total
:unselected:","10,635,564","10,635,564"
"VI Capital reserve
:selected:",,
"Opening balance
:unselected:","49,564,566","26,647,724"
"Additions during the year
:unselected:","6,664,722","22,916,842"
"Total
:unselected:","56,229,288","49,564,566"
VII Investment reserve,,
"Opening balance
:unselected:","616,645",-
"Additions during the year
:unselected:","2,398,701","616,645"
"Deductions during the year
:unselected:","(67,370)",-
"Total
:unselected:","2,947,976","616,645"
VIII Investment fluctuation reserve,,
"Opening balance
:unselected:","36,190,000","19,070,000"
"Additions during the year
:unselected:",-,"17,120,000"
"Total
:unselected:","36,190,000","36,190,000"
IX Foreign currency translation account :selected:,,
"Opening balance
:unselected:","1,820,382","3,238,634"
"Additions / (deductions) during the year
:unselected:","1,650,973","(1,418,252)"
"Total
:unselected:","3,471,355","1,820,382"
X Cash flow hedge reserve :selected:,,
"Opening balance
:unselected:",-,-
"Additions / (deductions) during the year
:unselected:","(976,777)",-
"Total
:unselected:","(976,777)",-
