Rating,Rating Agency,Recovery rating,"Outstanding as at March 31, 2021"
R2,CRISIL,75% - 100%,367.20
NR2,India Ratings,100% - 150%,"1,243.49"
NR3,India Ratings,75% - 100%,372.77
,,Total,"1,983.46"
