Particulars,Minimum outstanding during the year,Maximum outstanding during the year,Daily average outstanding during the year,"Outstanding as at March 31, 2022"
Securities sold under tri-party repo,,,,
1. Government securities,-,"70,080.05","33,659.03","9,799.00"
2. Corporate debt securities,-,-,-,-
3. Any other securities,-,-,-,-
Securities purchased under tri-party repo,,,,
1. Government securities,-,"44,926.80",432.45,-
2. Corporate debt securities,-,-,-,-
3. Any other securities,-,-,-,-
