Particulars,"March 31, 2022","March 31, 2021"
Total exposure to twenty largest borrowers / customers,"319,497.99","252,112.93"
Percentage of exposure of twenty largest borrowers / customers to total exposure of the Bank on borrowers / customers,14.4%,13.7%
